iter	Passed	Remaining
0	12	12488
1	25	12499
2	35	11949
3	49	12429
4	64	12858
5	82	13620
6	99	14125
7	126	15707
8	153	16853
9	173	17147
10	196	17689
11	222	18278
12	248	18880
13	271	19154
14	293	19260
15	319	19628
16	344	19948
17	375	20478
18	399	20635
19	424	20811
20	453	21125
21	485	21568
22	503	21405
23	523	21299
24	536	20922
25	555	20813
26	573	20672
27	593	20594
28	617	20673
29	638	20647
30	657	20536
31	675	20433
32	691	20255
33	714	20306
34	735	20282
35	760	20367
36	786	20469
37	800	20268
38	811	19996
39	824	19786
40	841	19685
41	865	19736
42	898	19991
43	929	20201
44	959	20354
45	989	20520
46	1016	20602
47	1046	20764
48	1070	20768
49	1098	20880
50	1125	20951
51	1155	21058
52	1183	21140
53	1207	21154
54	1228	21108
55	1249	21062
56	1275	21102
57	1303	21178
58	1329	21197
59	1353	21207
60	1374	21154
61	1393	21077
62	1421	21144
63	1446	21162
64	1472	21179
65	1494	21156
66	1514	21087
67	1536	21052
68	1556	20996
69	1573	20900
70	1601	20950
71	1627	20983
72	1651	20969
73	1678	20997
74	1701	20982
75	1732	21058
76	1749	20970
77	1761	20816
78	1771	20647
79	1783	20504
80	1797	20389
81	1810	20264
82	1823	20149
83	1836	20028
84	1854	19966
85	1885	20034
86	1909	20037
87	1935	20054
88	1963	20096
89	1982	20042
90	2003	20011
91	2029	20028
92	2054	20033
93	2077	20023
94	2096	19968
95	2111	19883
96	2135	19877
97	2149	19784
98	2161	19673
99	2178	19604
100	2196	19555
101	2220	19552
102	2237	19484
103	2256	19439
104	2267	19325
105	2282	19251
106	2300	19195
107	2315	19126
108	2335	19089
109	2352	19036
110	2367	18964
111	2390	18949
112	2406	18889
113	2425	18850
114	2440	18780
115	2461	18754
116	2477	18698
117	2496	18663
118	2521	18666
119	2550	18704
120	2579	18736
121	2604	18745
122	2631	18762
123	2656	18767
124	2678	18751
125	2705	18765
126	2723	18718
127	2750	18734
128	2779	18766
129	2800	18744
130	2829	18772
131	2856	18780
132	2880	18777
133	2896	18722
134	2917	18692
135	2944	18706
136	2967	18694
137	2991	18687
138	3002	18597
139	3013	18509
140	3030	18465
141	3046	18406
142	3056	18320
143	3069	18243
144	3084	18188
145	3098	18124
146	3111	18052
147	3126	17996
148	3138	17927
149	3152	17865
150	3166	17806
151	3181	17750
152	3193	17681
153	3214	17657
154	3237	17650
155	3255	17611
156	3275	17589
157	3292	17548
158	3315	17538
159	3331	17490
160	3356	17490
161	3370	17437
162	3391	17414
163	3413	17399
164	3432	17372
165	3459	17379
166	3481	17367
167	3500	17333
168	3519	17303
169	3537	17272
170	3564	17280
171	3591	17290
172	3617	17294
173	3634	17251
174	3657	17242
175	3679	17225
176	3694	17178
177	3711	17139
178	3736	17139
179	3751	17089
180	3768	17053
181	3779	16986
182	3792	16930
183	3805	16878
184	3819	16824
185	3831	16767
186	3849	16737
187	3873	16731
188	3886	16676
189	3908	16662
190	3926	16629
191	3947	16612
192	3963	16574
193	3984	16555
194	4002	16521
195	4013	16463
196	4027	16415
197	4040	16364
198	4054	16320
199	4074	16296
200	4086	16244
201	4106	16221
202	4127	16205
203	4146	16178
204	4165	16152
205	4179	16110
206	4194	16067
207	4211	16034
208	4229	16005
209	4245	15969
210	4262	15940
211	4278	15904
212	4294	15866
213	4310	15832
214	4328	15802
215	4342	15762
216	4354	15713
217	4366	15663
218	4380	15622
219	4391	15570
220	4404	15524
221	4417	15480
222	4430	15437
223	4447	15407
224	4461	15365
225	4479	15341
226	4495	15308
227	4509	15268
228	4521	15222
229	4534	15180
230	4546	15136
231	4561	15099
232	4577	15067
233	4596	15047
234	4610	15008
235	4632	14997
236	4656	14989
237	4672	14959
238	4693	14943
239	4712	14921
240	4737	14920
241	4766	14930
242	4782	14897
243	4793	14852
244	4803	14802
245	4815	14758
246	4828	14719
247	4842	14682
248	4852	14635
249	4862	14588
250	4875	14547
251	4888	14509
252	4902	14474
253	4914	14434
254	4927	14395
255	4942	14364
256	4955	14327
257	4973	14302
258	4985	14263
259	5006	14248
260	5023	14222
261	5039	14195
262	5049	14151
263	5066	14123
264	5083	14100
265	5101	14076
266	5121	14059
267	5134	14025
268	5145	13982
269	5157	13944
270	5169	13906
271	5184	13876
272	5195	13835
273	5205	13793
274	5218	13757
275	5233	13728
276	5245	13691
277	5259	13660
278	5276	13636
279	5287	13597
280	5298	13556
281	5311	13523
282	5325	13492
283	5338	13457
284	5350	13422
285	5360	13383
286	5373	13349
287	5391	13329
288	5407	13302
289	5421	13272
290	5432	13236
291	5450	13215
292	5468	13195
293	5480	13160
294	5497	13137
295	5514	13116
296	5533	13098
297	5552	13079
298	5574	13068
299	5598	13063
300	5619	13048
301	5629	13011
302	5641	12976
303	5656	12950
304	5670	12920
305	5680	12882
306	5694	12855
307	5711	12832
308	5727	12808
309	5739	12775
310	5756	12753
311	5774	12732
312	5798	12726
313	5814	12703
314	5832	12684
315	5846	12654
316	5863	12633
317	5876	12603
318	5895	12586
319	5906	12551
320	5921	12525
321	5936	12499
322	5951	12473
323	5964	12445
324	5975	12409
325	5989	12383
326	6003	12356
327	6017	12329
328	6033	12305
329	6055	12294
330	6075	12279
331	6092	12257
332	6117	12252
333	6137	12238
334	6151	12210
335	6167	12187
336	6182	12163
337	6194	12131
338	6208	12104
339	6220	12075
340	6239	12058
341	6255	12035
342	6273	12015
343	6289	11994
344	6310	11979
345	6325	11956
346	6341	11934
347	6365	11926
348	6380	11902
349	6395	11877
350	6413	11859
351	6425	11828
352	6443	11809
353	6457	11784
354	6475	11765
355	6494	11748
356	6508	11723
357	6520	11692
358	6534	11667
359	6546	11637
360	6558	11609
361	6571	11581
362	6587	11559
363	6600	11533
364	6615	11508
365	6640	11502
366	6653	11475
367	6667	11450
368	6679	11421
369	6694	11399
370	6710	11377
371	6723	11349
372	6735	11321
373	6750	11298
374	6763	11271
375	6777	11247
376	6793	11226
377	6809	11205
378	6827	11186
379	6839	11158
380	6851	11131
381	6865	11107
382	6880	11083
383	6901	11070
384	6922	11057
385	6945	11048
386	6970	11040
387	6994	11031
388	7014	11017
389	7032	11000
390	7049	10979
391	7067	10961
392	7085	10943
393	7106	10929
394	7128	10917
395	7151	10908
396	7172	10894
397	7195	10883
398	7215	10868
399	7230	10845
400	7250	10830
401	7266	10809
402	7281	10786
403	7300	10770
404	7317	10751
405	7336	10733
406	7360	10724
407	7387	10719
408	7403	10697
409	7429	10691
410	7452	10680
411	7472	10664
412	7500	10659
413	7528	10656
414	7550	10643
415	7573	10631
416	7591	10613
417	7617	10606
418	7635	10588
419	7650	10565
420	7666	10544
421	7684	10525
422	7702	10506
423	7721	10489
424	7738	10470
425	7754	10448
426	7774	10432
427	7790	10411
428	7810	10395
429	7831	10380
430	7848	10361
431	7871	10349
432	7889	10331
433	7907	10312
434	7919	10286
435	7941	10273
436	7963	10259
437	7987	10248
438	8009	10235
439	8029	10219
440	8044	10196
441	8066	10183
442	8086	10167
443	8103	10147
444	8132	10142
445	8154	10128
446	8177	10116
447	8199	10102
448	8222	10090
449	8242	10074
450	8265	10062
451	8287	10047
452	8311	10036
453	8334	10023
454	8351	10002
455	8367	9982
456	8388	9966
457	8410	9952
458	8430	9936
459	8447	9916
460	8469	9903
461	8483	9878
462	8501	9860
463	8517	9839
464	8537	9822
465	8563	9813
466	8582	9795
467	8607	9784
468	8624	9765
469	8649	9753
470	8668	9736
471	8684	9714
472	8698	9691
473	8719	9676
474	8735	9654
475	8755	9638
476	8775	9621
477	8796	9606
478	8817	9590
479	8831	9567
480	8849	9548
481	8867	9529
482	8886	9511
483	8907	9495
484	8928	9480
485	8943	9458
486	8964	9442
487	8981	9423
488	9006	9411
489	9027	9396
490	9046	9377
491	9066	9360
492	9084	9342
493	9106	9327
494	9125	9309
495	9147	9294
496	9166	9276
497	9184	9257
498	9198	9235
499	9214	9214
500	9232	9195
501	9254	9180
502	9271	9160
503	9289	9141
504	9307	9123
505	9326	9105
506	9344	9086
507	9369	9074
508	9390	9058
509	9412	9043
510	9434	9028
511	9453	9010
512	9471	8991
513	9490	8973
514	9506	8952
515	9528	8937
516	9542	8915
517	9560	8896
518	9574	8873
519	9591	8853
520	9609	8835
521	9634	8822
522	9659	8809
523	9677	8790
524	9692	8769
525	9716	8755
526	9732	8735
527	9748	8714
528	9764	8693
529	9783	8675
530	9803	8659
531	9824	8642
532	9840	8622
533	9859	8603
534	9878	8585
535	9897	8567
536	9919	8552
537	9936	8532
538	9956	8515
539	9975	8497
540	9994	8479
541	10013	8461
542	10035	8446
543	10055	8428
544	10074	8410
545	10100	8398
546	10119	8380
547	10132	8357
548	10149	8338
549	10165	8317
550	10183	8298
551	10203	8280
552	10225	8265
553	10243	8246
554	10262	8228
555	10282	8211
556	10300	8192
557	10319	8174
558	10333	8152
559	10354	8135
560	10378	8121
561	10395	8101
562	10413	8082
563	10429	8062
564	10452	8047
565	10472	8030
566	10493	8013
567	10508	7992
568	10523	7971
569	10540	7951
570	10552	7928
571	10571	7910
572	10584	7887
573	10605	7870
574	10620	7849
575	10636	7829
576	10651	7808
577	10664	7786
578	10681	7766
579	10694	7744
580	10711	7724
581	10723	7701
582	10734	7677
583	10750	7657
584	10762	7635
585	10774	7612
586	10788	7590
587	10799	7567
588	10810	7543
589	10823	7521
590	10849	7508
591	10863	7487
592	10875	7464
593	10885	7440
594	10902	7420
595	10921	7403
596	10937	7383
597	10953	7363
598	10970	7344
599	10990	7326
600	11007	7307
601	11024	7288
602	11043	7270
603	11069	7257
604	11087	7238
605	11105	7220
606	11126	7203
607	11144	7185
608	11163	7167
609	11194	7156
610	11209	7136
611	11227	7117
612	11244	7099
613	11261	7079
614	11279	7061
615	11294	7040
616	11309	7020
617	11332	7004
618	11350	6986
619	11369	6968
620	11380	6945
621	11398	6926
622	11411	6905
623	11426	6885
624	11437	6862
625	11450	6841
626	11464	6820
627	11480	6800
628	11492	6778
629	11507	6758
630	11520	6737
631	11532	6715
632	11547	6695
633	11563	6675
634	11574	6652
635	11585	6630
636	11596	6608
637	11610	6587
638	11622	6565
639	11635	6545
640	11651	6525
641	11666	6505
642	11676	6482
643	11689	6461
644	11703	6441
645	11714	6419
646	11727	6398
647	11742	6378
648	11758	6359
649	11771	6338
650	11784	6317
651	11796	6296
652	11810	6276
653	11824	6255
654	11843	6238
655	11858	6218
656	11876	6200
657	11891	6180
658	11903	6159
659	11915	6138
660	11928	6117
661	11943	6097
662	11959	6078
663	11972	6058
664	11992	6041
665	12008	6022
666	12026	6004
667	12042	5985
668	12053	5963
669	12066	5943
670	12082	5924
671	12099	5905
672	12112	5885
673	12123	5863
674	12142	5846
675	12159	5828
676	12177	5810
677	12192	5790
678	12213	5773
679	12225	5753
680	12243	5735
681	12264	5718
682	12281	5700
683	12303	5683
684	12323	5667
685	12344	5650
686	12357	5630
687	12376	5612
688	12392	5593
689	12406	5574
690	12427	5557
691	12439	5536
692	12453	5517
693	12466	5496
694	12483	5478
695	12497	5458
696	12518	5442
697	12535	5423
698	12555	5406
699	12567	5386
700	12580	5365
701	12600	5349
702	12612	5328
703	12626	5308
704	12640	5289
705	12655	5270
706	12666	5249
707	12680	5229
708	12693	5209
709	12705	5189
710	12718	5169
711	12734	5150
712	12749	5131
713	12766	5113
714	12783	5095
715	12797	5076
716	12810	5056
717	12824	5036
718	12843	5019
719	12858	5000
720	12872	4981
721	12886	4961
722	12899	4942
723	12918	4924
724	12933	4905
725	12953	4888
726	12968	4869
727	12985	4851
728	13003	4833
729	13021	4816
730	13040	4798
731	13061	4781
732	13083	4765
733	13106	4749
734	13124	4732
735	13141	4713
736	13162	4697
737	13178	4678
738	13191	4659
739	13204	4639
740	13220	4620
741	13236	4602
742	13256	4585
743	13273	4567
744	13296	4550
745	13317	4534
746	13336	4517
747	13357	4499
748	13374	4481
749	13390	4463
750	13405	4444
751	13416	4424
752	13431	4405
753	13447	4387
754	13459	4367
755	13471	4348
756	13485	4329
757	13502	4310
758	13516	4291
759	13529	4272
760	13544	4253
761	13564	4236
762	13586	4220
763	13606	4203
764	13619	4183
765	13640	4166
766	13658	4149
767	13679	4132
768	13695	4113
769	13716	4097
770	13734	4079
771	13755	4062
772	13775	4045
773	13791	4027
774	13813	4010
775	13836	3994
776	13853	3976
777	13869	3957
778	13893	3941
779	13914	3924
780	13931	3906
781	13948	3888
782	13967	3870
783	13986	3853
784	14010	3837
785	14029	3819
786	14051	3803
787	14071	3785
788	14091	3768
789	14106	3749
790	14125	3732
791	14140	3713
792	14156	3695
793	14177	3678
794	14195	3660
795	14214	3642
796	14239	3626
797	14260	3609
798	14279	3592
799	14304	3576
800	14320	3557
801	14339	3540
802	14355	3521
803	14377	3504
804	14393	3486
805	14414	3469
806	14429	3450
807	14451	3434
808	14469	3416
809	14494	3399
810	14511	3381
811	14526	3363
812	14543	3345
813	14562	3327
814	14583	3310
815	14607	3293
816	14621	3275
817	14641	3257
818	14659	3239
819	14675	3221
820	14692	3203
821	14712	3186
822	14736	3169
823	14754	3151
824	14770	3133
825	14789	3115
826	14811	3098
827	14831	3080
828	14853	3063
829	14871	3046
830	14893	3028
831	14912	3011
832	14930	2993
833	14953	2976
834	14973	2958
835	14992	2941
836	15012	2923
837	15028	2905
838	15049	2887
839	15064	2869
840	15079	2850
841	15096	2832
842	15108	2813
843	15127	2796
844	15142	2777
845	15167	2761
846	15185	2743
847	15204	2725
848	15226	2708
849	15243	2689
850	15258	2671
851	15278	2653
852	15296	2636
853	15317	2618
854	15333	2600
855	15356	2583
856	15372	2565
857	15387	2546
858	15406	2528
859	15424	2511
860	15448	2494
861	15470	2476
862	15490	2459
863	15509	2441
864	15526	2423
865	15541	2404
866	15561	2387
867	15581	2369
868	15606	2352
869	15630	2335
870	15645	2317
871	15669	2300
872	15687	2282
873	15712	2265
874	15726	2246
875	15738	2227
876	15754	2209
877	15777	2192
878	15794	2174
879	15807	2155
